invoice_id,po_number,transaction_id,company_code,fiscal_year,document_type,vendor_number,supplier_id,invoice_date,posting_date,due_date,payment_date,clearing_date,payment_document,amount,currency,status,payment_terms,overdue_days
INV-00445,PO-26143,TX-00445,CA01,2023,RE,100002,S002,2023-09-29,2023-10-01,2023-10-29,2023-10-25,2023-10-25,PAY6399941,739.03,CAD,Paid,Net 30,0
INV-01700,PO-75514,TX-01700,CA01,2024,RE,100032,S032,2024-10-28,2024-10-28,2024-12-27,2024-12-25,2024-12-25,PAY6414306,289389.21,CAD,Paid,Net 60,0
INV-01919,PO-70228,TX-01919,CA01,2023,RE,100034,S034,2023-07-17,2023-07-19,2023-08-31,2023-08-26,2023-08-26,PAY6862057,62766.56,CAD,Paid,Net 45,0
INV-00641,PO-23055,TX-00641,CA01,2025,RE,100007,S007,2025-03-04,2025-03-06,2025-04-03,2025-03-29,2025-03-29,PAY6692818,27294.15,CAD,Paid,Net 30,0
INV-00947,PO-56562,TX-00947,CA01,2024,RE,100024,S024,2024-04-10,2024-04-10,2024-05-10,2024-05-06,2024-05-06,PAY6032316,9860.23,CAD,Paid,Net 30,0
INV-02070,PO-20962,TX-02070,CA01,2023,RE,100001,S001,2023-03-03,2023-03-03,2023-04-02,,,,49147.28,CAD,Pending,Net 30,0
INV-DUP-017,PO-91973,TX-DUP-017,CA01,2025,RE,100040,S040,2025-08-07,2025-08-09,2025-10-06,2025-10-03,2025-10-03,PAY6497012,8654.59,CAD,Paid,Net 60,0
INV-01778,PO-63697,TX-01778,CA01,2023,RE,100027,S027,2023-11-15,2023-11-16,2023-12-15,,,,8718.77,CAD,Pending,Net 30,0
INV-02218,PO-64771,TX-02218,CA01,2024,RE,100029,S029,2024-02-22,2024-02-24,2024-03-23,2024-03-20,2024-03-20,PAY6163917,6297.24,CAD,Paid,Net 30,0
INV-02119,PO-16224,TX-02119,CA01,2025,RE,100007,S007,2025-01-31,2025-02-02,2025-03-02,,,,82123.88,CAD,Pending,Net 30,0
INV-DUP-029,PO-11035,TX-DUP-029,CA01,2024,RE,100034,S034,2024-09-20,2024-09-22,2024-11-04,2024-10-30,2024-10-30,PAY6559381,130504.77,CAD,Paid,Net 45,0
INV-00431,PO-49347,TX-00431,CA01,2025,RE,100029,S029,2025-09-04,2025-09-06,2025-10-04,2025-10-01,2025-10-01,PAY6230545,12499.07,CAD,Paid,Net 30,0
INV-01000,PO-98112,TX-01000,CA01,2023,RE,100028,S028,2023-06-13,2023-06-13,2023-07-28,2023-07-28,2023-07-28,PAY6143006,137874.19,CAD,Paid,Net 45,0
INV-01076,PO-50412,TX-01076,CA01,2025,RE,100040,S040,2025-12-09,2025-12-11,2026-02-07,2026-02-02,2026-02-02,PAY6783028,48771.14,CAD,Paid,Net 60,0
INV-02163,PO-19535,TX-02163,CA01,2023,RE,100038,S038,2023-06-04,2023-06-05,2023-07-04,2023-06-30,2023-06-30,PAY6409985,41457.96,CAD,Paid,Net 30,0
INV-02388,PO-21353,TX-02388,CA01,2025,RE,100033,S033,2025-09-19,2025-09-19,2025-10-19,2025-10-15,2025-10-15,PAY6835474,62044.61,CAD,Paid,Net 30,0
INV-01189,PO-99710,TX-01189,CA01,2023,RE,100007,S007,2023-02-18,2023-02-19,2023-03-20,2023-03-16,2023-03-16,PAY6836223,15824.11,CAD,Paid,Net 30,0
INV-01104,PO-55688,TX-01104,CA01,2023,RE,100001,S001,2023-11-30,2023-12-01,2023-12-30,,,,9340.28,CAD,Pending,Net 30,0
INV-00592,PO-45283,TX-00592,CA01,2026,RE,100002,S002,2026-01-01,2026-01-02,2026-01-31,2026-01-30,2026-01-30,PAY6890731,6215.17,CAD,Paid,Net 30,0
INV-00931,PO-21486,TX-00931,CA01,2025,RE,100028,S028,2025-01-10,2025-01-11,2025-02-24,,,,122876.33,CAD,Pending,Net 45,0
INV-02383,PO-81073,TX-02383,CA01,2023,RE,100034,S034,2023-07-09,2023-07-09,2023-08-23,,,,40791.73,CAD,Overdue,Net 45,0
INV-00212,PO-79774,TX-00212,CA01,2024,RE,100034,S034,2024-09-06,2024-09-06,2024-10-21,2024-10-19,2024-10-19,PAY6572233,94657.43,CAD,Paid,Net 45,0
INV-00381,PO-56095,TX-00381,CA01,2025,RE,100029,S029,2025-01-05,2025-01-06,2025-02-04,2025-02-04,2025-02-04,PAY6309307,1406.98,CAD,Paid,Net 30,0
INV-00727,PO-49855,TX-00727,CA01,2024,RE,100006,S006,2024-08-31,2024-09-01,2024-10-15,2024-10-13,2024-10-13,PAY6664845,4691.17,CAD,Paid,Net 45,0
INV-01894,PO-18912,TX-01894,CA01,2023,RE,100008,S008,2023-09-20,2023-09-20,2023-10-20,,,,42013.22,CAD,Pending,Net 30,0
INV-01255,PO-13104,TX-01255,CA01,2025,RE,100016,S016,2025-04-19,2025-04-19,2025-05-04,2025-05-04,2025-05-04,PAY6151074,85991.02,CAD,Paid,Net 15,0
INV-00716,PO-40833,TX-00716,CA01,2025,RE,100033,S033,2025-01-12,2025-01-12,2025-02-11,2025-02-07,2025-02-07,PAY6312534,13480.24,CAD,Paid,Net 30,0
INV-01706,PO-23582,TX-01706,CA01,2024,RE,100039,S039,2024-12-02,2024-12-04,2025-01-16,2025-01-15,2025-01-15,PAY6710189,22811.97,CAD,Paid,Net 45,0
INV-00186,PO-74382,TX-00186,CA01,2025,RE,100033,S033,2025-07-03,2025-07-05,2025-08-02,2025-08-01,2025-08-01,PAY6930063,80665.88,CAD,Paid,Net 30,0
INV-02379,PO-63740,TX-02379,CA01,2023,RE,100040,S040,2023-05-15,2023-05-17,2023-07-14,2023-07-10,2023-07-10,PAY6958575,15089.13,CAD,Paid,Net 60,0
