transaction_id,po_number,company_code,purchasing_org,purchasing_group,document_type,date,vendor_number,supplier_id,supplier_name,plant_code,site,storage_location,material_number,category,description,quantity,unit_price,total_amount,currency,on_contract,planned_lead_days,planned_delivery_date,actual_gr_date,gr_document_number,delivery_status,days_late
TX-00445,PO-26143,CA01,PO01,PG1,NB,2023-09-26,100002,S002,Wesco Distribution,NX10,Allan,SL01,MAT-10001,MRO,Valve repair parts,5.01,147.51,739.03,CAD,1,5,2023-10-01,2023-10-01,GR5000000,On Time,0
TX-01700,PO-75514,CA01,PO01,PG2,NB,2024-10-21,100032,S032,Endress+Hauser,NX10,Allan,SL02,MAT-10002,Instrumentation,Flow meter,15.07,19203.0,289389.21,CAD,1,21,2024-11-11,2024-11-11,GR5000001,On Time,0
TX-01919,PO-70228,CA01,PO01,PG2,NB,2023-07-15,100034,S034,ABB Canada,NX20,Vanscoy,SL02,MAT-10002,Instrumentation,Flow meter,5.68,11050.45,62766.56,CAD,1,12,2023-07-27,2023-07-27,GR5000002,On Time,0
TX-00641,PO-23055,CA01,PO01,PG3,NB,2025-03-02,100007,S007,Brenntag Canada,NX30,Cory,SL03,MAT-10003,Chemicals,Sulfuric acid,5.39,5063.85,27294.15,CAD,1,8,2025-03-10,2025-03-10,GR5000003,On Time,0
TX-00947,PO-56562,CA01,PO01,PG4,NB,2024-04-03,100024,S024,Northern Safety,NX40,Patience Lake,SL04,MAT-10004,Safety,First aid kit,24.8,397.59,9860.23,CAD,1,2,2024-04-05,2024-04-05,GR5000004,On Time,0
TX-02070,PO-20962,CA01,PO01,PG1,NB,2023-02-25,100001,S001,Prairie Industrial Supply,NX50,Redwater,SL01,MAT-10005,MRO,Bearing assembly,15.73,3124.43,49147.28,CAD,1,7,2023-03-04,2023-03-04,GR5000005,On Time,0
TX-DUP-017,PO-91973,CA01,PO01,PG1,NB,2025-08-04,100040,S040,Generic Supplies Inc,NX50,Redwater,SL01,MAT-10006,MRO,Gear oil,8.85,977.92,8654.59,CAD,0,15,2025-08-19,2025-08-20,GR5000006,Late,1
TX-01778,PO-63697,CA01,PO01,PG3,NB,2023-11-08,100027,S027,Western Agri-Chem,NX10,Allan,SL03,MAT-10007,Chemicals,Corrosion inhibitor,4.1,2126.53,8718.77,CAD,1,8,2023-11-16,2023-11-16,GR5000007,On Time,0
TX-02218,PO-64771,CA01,PO01,PG4,NB,2024-02-21,100029,S029,3M Canada,NX50,Redwater,SL04,MAT-10008,Safety,FR coveralls,16.7,377.08,6297.24,CAD,1,5,2024-02-26,2024-02-26,GR5000008,On Time,0
TX-02119,PO-16224,CA01,PO01,PG3,NB,2025-01-28,100007,S007,Brenntag Canada,NX20,Vanscoy,SL03,MAT-10007,Chemicals,Corrosion inhibitor,9.58,8572.43,82123.88,CAD,1,8,2025-02-05,2025-02-05,GR5000009,On Time,0
TX-DUP-029,PO-11035,CA01,PO01,PG2,NB,2024-09-15,100034,S034,ABB Canada,NX60,Rocanville,SL02,MAT-10009,Instrumentation,Level sensor,14.71,8871.84,130504.77,CAD,1,12,2024-09-27,2024-09-27,GR5000010,On Time,0
TX-00431,PO-49347,CA01,PO01,PG4,NB,2025-09-01,100029,S029,3M Canada,NX40,Patience Lake,SL04,MAT-10010,Safety,Hearing protection,45.4,275.31,12499.07,CAD,1,5,2025-09-06,2025-09-06,GR5000011,On Time,0
TX-01000,PO-98112,CA01,PO01,PG3,NB,2023-06-08,100028,S028,BioAgra Solutions,NX70,Aurora,SL03,MAT-10011,Chemicals,Scale inhibitor,11.23,12277.31,137874.19,CAD,0,10,2023-06-18,2023-06-18,GR5000012,On Time,0
TX-01076,PO-50412,CA01,PO01,PG1,NB,2025-12-06,100040,S040,Generic Supplies Inc,NX50,Redwater,SL01,MAT-10012,MRO,Coupling set,13.18,3700.39,48771.14,CAD,0,15,2025-12-21,2025-12-21,GR5000013,On Time,0
TX-02163,PO-19535,CA01,PO01,PG4,NB,2023-05-30,100038,S038,Prairie Packaging,NX70,Aurora,SL04,MAT-10013,Packaging,Pallet wrap,26.6,1558.57,41457.96,CAD,1,5,2023-06-04,2023-06-04,GR5000014,On Time,0
TX-02388,PO-21353,CA01,PO01,PG2,NB,2025-09-17,100033,S033,Siemens Canada,NX20,Vanscoy,SL02,MAT-10014,Electrical,Conduit kit,5.87,10569.78,62044.61,CAD,1,10,2025-09-27,2025-09-27,GR5000015,On Time,0
TX-01189,PO-99710,CA01,PO01,PG3,NB,2023-02-13,100007,S007,Brenntag Canada,NX50,Redwater,SL03,MAT-10015,Chemicals,Sodium hydroxide 50%,3.4,4654.15,15824.11,CAD,1,8,2023-02-21,2023-02-21,GR5000016,On Time,0
TX-01104,PO-55688,CA01,PO01,PG1,NB,2023-11-29,100001,S001,Prairie Industrial Supply,NX60,Rocanville,SL01,MAT-10016,MRO,Filter element,4.69,1991.53,9340.28,CAD,1,7,2023-12-06,2023-12-06,GR5000017,On Time,0
TX-00592,PO-45283,CA01,PO01,PG1,NB,2025-12-31,100002,S002,Wesco Distribution,NX20,Vanscoy,SL01,MAT-10016,MRO,Filter element,1.42,4376.88,6215.17,CAD,1,5,2026-01-05,2026-01-12,GR5000018,Late,7
TX-00931,PO-21486,CA01,PO01,PG3,NB,2025-01-08,100028,S028,BioAgra Solutions,NX40,Patience Lake,SL03,MAT-10017,Agri-Chemicals,Phosphate blend,14.12,8702.29,122876.33,CAD,0,10,2025-01-18,2025-01-18,GR5000019,On Time,0
TX-02383,PO-81073,CA01,PO01,PG2,NB,2023-07-04,100034,S034,ABB Canada,NX10,Allan,SL02,MAT-10018,Instrumentation,Temperature probe,3.59,11362.6,40791.73,CAD,1,12,2023-07-16,2023-07-16,GR5000020,On Time,0
TX-00212,PO-79774,CA01,PO01,PG2,NB,2024-09-04,100034,S034,ABB Canada,NX60,Rocanville,SL02,MAT-10019,Electrical,LED fixture,12.28,7708.26,94657.43,CAD,1,12,2024-09-16,2024-09-16,GR5000021,On Time,0
TX-00381,PO-56095,CA01,PO01,PG4,NB,2025-01-04,100029,S029,3M Canada,NX30,Cory,SL04,MAT-10020,Safety,Safety harness,45.8,30.72,1406.98,CAD,1,5,2025-01-09,2025-01-09,GR5000022,On Time,0
TX-00727,PO-49855,CA01,PO01,PG2,NB,2024-08-26,100006,S006,HD Supply,NX30,Cory,SL02,MAT-10019,Electrical,LED fixture,6.49,722.83,4691.17,CAD,1,10,2024-09-05,2024-09-03,GR5000023,On Time,0
TX-01894,PO-18912,CA01,PO01,PG3,NB,2023-09-18,100008,S008,Univar Solutions,NX70,Aurora,SL03,MAT-10021,Chemicals,Process chemical,17.3,2428.51,42013.22,CAD,1,9,2023-09-27,2023-09-27,GR5000024,On Time,0
TX-01255,PO-13104,CA01,PO01,PG5,UB,2025-04-14,100016,S016,Nutrien Logistics,NX30,Cory,SL05,MAT-10022,Logistics,Outbound freight,18.03,4769.33,85991.02,CAD,0,2,2025-04-16,2025-04-16,GR5000025,On Time,0
TX-00716,PO-40833,CA01,PO01,PG2,NB,2025-01-05,100033,S033,Siemens Canada,NX20,Vanscoy,SL02,MAT-10023,Electrical,Motor starter,3.08,4376.7,13480.24,CAD,1,10,2025-01-15,2025-01-15,GR5000026,On Time,0
TX-01706,PO-23582,CA01,PO01,PG4,NB,2024-11-27,100039,S039,Sealed Air Canada,NX10,Allan,SL04,MAT-10024,Packaging,Poly liner,27.1,841.77,22811.97,CAD,1,8,2024-12-05,2024-12-05,GR5000027,On Time,0
TX-00186,PO-74382,CA01,PO01,PG2,NB,2025-07-02,100033,S033,Siemens Canada,NX70,Aurora,SL02,MAT-10025,Instrumentation,Analyzer calibration,5.08,15879.11,80665.88,CAD,1,10,2025-07-12,2025-07-12,GR5000028,On Time,0
TX-02379,PO-63740,CA01,PO01,PG1,NB,2023-05-10,100040,S040,Generic Supplies Inc,NX20,Vanscoy,SL01,MAT-10026,MRO,Hose assembly,13.01,1159.81,15089.13,CAD,0,15,2023-05-25,2023-05-25,GR5000029,On Time,0
TX-02335,PO-80420,CA01,PO01,PG3,NB,2023-11-12,100008,S008,Univar Solutions,NX10,Allan,SL03,MAT-10027,Chemicals,Defoamer,18.76,11828.93,221910.73,CAD,1,9,2023-11-21,2023-11-21,GR5000030,On Time,0
TX-01024,PO-77853,CA01,PO01,PG5,UB,2024-09-24,100017,S017,Canadian Freightways,NX60,Rocanville,SL05,MAT-10028,Logistics,Inbound freight,12.46,2682.98,33429.93,CAD,1,3,2024-09-27,2024-09-27,GR5000031,On Time,0
TX-01169,PO-42651,CA01,PO01,PG5,UB,2024-07-01,100017,S017,Canadian Freightways,NX60,Rocanville,SL05,MAT-10029,Logistics,Expedited shipping,2.0,5940.64,11881.28,CAD,1,3,2024-07-04,2024-07-05,GR5000032,Late,1
TX-00561,PO-46009,CA01,PO01,PG3,NB,2023-03-28,100040,S040,Generic Supplies Inc,NX20,Vanscoy,SL03,MAT-10030,Agri-Chemicals,Micronutrient blend,17.11,3549.9,60738.79,CAD,0,15,2023-04-12,2023-04-12,GR5000033,On Time,0
TX-00513,PO-93995,CA01,PO01,PG2,NB,2023-01-10,100006,S006,HD Supply,NX10,Allan,SL02,MAT-10014,Electrical,Conduit kit,6.95,11827.77,82203.0,CAD,1,10,2023-01-20,2023-01-20,GR5000034,On Time,0
TX-00073,PO-42816,CA01,PO01,PG3,NB,2023-03-23,100030,S030,DuPont Canada,NX20,Vanscoy,SL03,MAT-10030,Agri-Chemicals,Micronutrient blend,17.9,5982.46,107086.03,CAD,1,7,2023-03-30,2023-03-30,GR5000035,On Time,0
TX-01590,PO-70583,CA01,PO01,PG3,NB,2024-11-09,100027,S027,Western Agri-Chem,NX50,Redwater,SL03,MAT-10031,Chemicals,Hydrochloric acid,17.57,10979.44,192908.76,CAD,1,8,2024-11-17,2024-11-22,GR5000036,Late,5
TX-02195,PO-74580,CA01,PO01,PG4,NB,2025-06-24,100039,S039,Sealed Air Canada,NX40,Patience Lake,SL04,MAT-10013,Packaging,Pallet wrap,14.7,1736.18,25521.85,CAD,1,8,2025-07-02,2025-07-02,GR5000037,On Time,0
TX-00768,PO-75521,CA01,PO01,PG3,NB,2023-12-24,100030,S030,DuPont Canada,NX10,Allan,SL03,MAT-10032,Agri-Chemicals,Anhydrous ammonia,12.6,685.92,8642.59,CAD,1,7,2023-12-31,2023-12-31,GR5000038,On Time,0
TX-01902,PO-87274,CA01,PO01,PG2,NB,2025-08-20,100035,S035,Rockwell Automation,NX50,Redwater,SL02,MAT-10033,Electrical,Transformer,10.72,5914.19,63400.12,CAD,1,14,2025-09-03,2025-09-03,GR5000039,On Time,0
TX-00441,PO-55134,CA01,PO01,PG4,NB,2023-01-09,100024,S024,Northern Safety,NX70,Aurora,SL04,MAT-10020,Safety,Safety harness,31.7,114.55,3631.23,CAD,1,2,2023-01-11,2023-01-11,GR5000040,On Time,0
TX-00668,PO-10463,CA01,PO01,PG2,NB,2024-01-06,100034,S034,ABB Canada,NX30,Cory,SL02,MAT-10002,Instrumentation,Flow meter,3.23,4591.92,14831.9,CAD,1,12,2024-01-18,2024-01-17,GR5000041,On Time,0
TX-01501,PO-71668,CA01,PO01,PG5,UB,2025-08-28,100037,S037,Purolator,NX70,Aurora,SL05,MAT-10022,Logistics,Outbound freight,1.19,3622.27,4310.5,CAD,1,1,2025-08-29,2025-09-02,GR5000042,Late,4
TX-01410,PO-80283,CA01,PO01,PG4,NB,2024-04-20,100038,S038,Prairie Packaging,NX10,Allan,SL04,MAT-10024,Packaging,Poly liner,5.5,99.3,546.15,CAD,1,5,2024-04-25,2024-04-25,GR5000043,On Time,0
TX-00994,PO-31157,CA01,PO01,PG4,NB,2024-03-11,100039,S039,Sealed Air Canada,NX50,Redwater,SL04,MAT-10034,Packaging,Bulk bags,29.7,1059.83,31476.95,CAD,1,8,2024-03-19,2024-03-19,GR5000044,On Time,0
TX-01107,PO-11617,CA01,PO01,PG3,NB,2024-05-21,100027,S027,Western Agri-Chem,NX30,Cory,SL03,MAT-10032,Agri-Chemicals,Anhydrous ammonia,12.44,7633.51,94960.86,CAD,1,8,2024-05-29,2024-05-29,GR5000045,On Time,0
TX-00660,PO-48165,CA01,PO01,PG1,NB,2025-11-23,100005,S005,Motion Industries,NX60,Rocanville,SL01,MAT-10035,MRO,Conveyor belt,15.54,4333.54,67343.21,CAD,1,6,2025-11-29,2025-11-29,GR5000046,On Time,0
TX-00144,PO-95918,CA01,PO01,PG5,UB,2023-10-27,100017,S017,Canadian Freightways,NX20,Vanscoy,SL05,MAT-10022,Logistics,Outbound freight,5.86,1801.24,10555.27,CAD,1,3,2023-10-30,2023-10-30,GR5000047,On Time,0
TX-00427,PO-93964,CA01,PO01,PG2,NB,2023-08-10,100033,S033,Siemens Canada,NX70,Aurora,SL02,MAT-10009,Instrumentation,Level sensor,10.15,9402.67,95437.1,CAD,1,10,2023-08-20,2023-08-20,GR5000048,On Time,0
TX-02266,PO-62819,CA01,PO01,PG4,NB,2025-08-30,100024,S024,Northern Safety,NX70,Aurora,SL04,MAT-10008,Safety,FR coveralls,1.9,41.88,79.57,CAD,1,2,2025-09-01,2025-09-07,GR5000049,Late,6
TX-01985,PO-53850,CA01,PO01,PG2,NB,2023-12-03,100034,S034,ABB Canada,NX20,Vanscoy,SL02,MAT-10036,Electrical,Control panel,19.13,6353.86,121549.34,CAD,1,12,2023-12-15,2023-12-15,GR5000050,On Time,0
TX-00710,PO-33091,CA01,PO01,PG3,NB,2025-08-06,100026,S026,Sask Chemical Corp,NX40,Patience Lake,SL03,MAT-10037,Agri-Chemicals,Potassium chloride,7.18,1142.17,8200.78,CAD,1,6,2025-08-12,2025-08-12,GR5000051,On Time,0
TX-01643,PO-79778,CA01,PO01,PG4,NB,2023-11-05,100025,S025,Direct Safety,NX60,Rocanville,SL04,MAT-10008,Safety,FR coveralls,13.7,118.02,1616.87,CAD,0,7,2023-11-12,2023-11-12,GR5000052,On Time,0
TX-00679,PO-35369,CA01,PO01,PG3,NB,2024-01-04,100030,S030,DuPont Canada,NX50,Redwater,SL03,MAT-10017,Agri-Chemicals,Phosphate blend,17.79,2168.68,38580.82,CAD,1,7,2024-01-11,2024-01-11,GR5000053,On Time,0
TX-01608,PO-39928,CA01,PO01,PG3,NB,2024-05-22,100040,S040,Generic Supplies Inc,NX40,Patience Lake,SL03,MAT-10032,Agri-Chemicals,Anhydrous ammonia,5.65,7058.59,39881.03,CAD,0,15,2024-06-06,2024-06-06,GR5000054,On Time,0
TX-01665,PO-28690,CA01,PO01,PG3,NB,2024-02-06,100026,S026,Sask Chemical Corp,NX60,Rocanville,SL03,MAT-10021,Chemicals,Process chemical,3.39,6565.02,22255.42,CAD,1,6,2024-02-12,2024-02-12,GR5000055,On Time,0
TX-00744,PO-69433,CA01,PO01,PG5,UB,2024-01-13,100016,S016,Nutrien Logistics,NX70,Aurora,SL05,MAT-10038,Logistics,Rail freight,5.81,4584.62,26636.64,CAD,0,2,2024-01-15,2024-01-21,GR5000056,Late,6
TX-00787,PO-92157,CA01,PO01,PG1,NB,2023-10-11,100004,S004,Fastenal Canada,NX60,Rocanville,SL01,MAT-10026,MRO,Hose assembly,17.61,1853.85,32646.3,CAD,1,4,2023-10-15,2023-10-15,GR5000057,On Time,0
TX-00870,PO-67067,CA01,PO01,PG1,NB,2025-01-16,100005,S005,Motion Industries,NX10,Allan,SL01,MAT-10016,MRO,Filter element,9.79,1119.66,10961.47,CAD,1,6,2025-01-22,2025-01-22,GR5000058,On Time,0
TX-01615,PO-94578,CA01,PO01,PG2,NB,2023-12-28,100034,S034,ABB Canada,NX70,Aurora,SL02,MAT-10009,Instrumentation,Level sensor,7.24,12857.07,93085.19,CAD,1,12,2024-01-09,2024-01-09,GR5000059,On Time,0
TX-00785,PO-27394,CA01,PO01,PG3,NB,2023-01-26,100027,S027,Western Agri-Chem,NX20,Vanscoy,SL03,MAT-10032,Agri-Chemicals,Anhydrous ammonia,14.17,3490.3,49457.55,CAD,1,8,2023-02-03,2023-02-03,GR5000060,On Time,0
TX-01575,PO-51331,CA01,PO01,PG3,NB,2023-06-20,100040,S040,Generic Supplies Inc,NX30,Cory,SL03,MAT-10017,Agri-Chemicals,Phosphate blend,4.94,8719.58,43074.73,CAD,0,15,2023-07-05,2023-07-05,GR5000061,On Time,0
TX-01376,PO-25035,CA01,PO01,PG2,NB,2023-01-14,100033,S033,Siemens Canada,NX70,Aurora,SL02,MAT-10002,Instrumentation,Flow meter,16.31,16156.1,263505.99,CAD,1,10,2023-01-24,2023-01-24,GR5000062,On Time,0
TX-00675,PO-48382,CA01,PO01,PG2,NB,2023-05-19,100006,S006,HD Supply,NX50,Redwater,SL02,MAT-10023,Electrical,Motor starter,15.41,12680.98,195413.9,CAD,1,10,2023-05-29,2023-05-29,GR5000063,On Time,0
TX-01029,PO-11296,CA01,PO01,PG3,NB,2025-02-08,100028,S028,BioAgra Solutions,NX50,Redwater,SL03,MAT-10017,Agri-Chemicals,Phosphate blend,4.9,2069.02,10138.2,CAD,0,10,2025-02-18,2025-02-18,GR5000064,On Time,0
TX-02058,PO-32950,CA01,PO01,PG5,UB,2023-11-22,100016,S016,Nutrien Logistics,NX50,Redwater,SL05,MAT-10039,Logistics,Flatbed transport,10.0,616.35,6163.5,CAD,0,2,2023-11-24,2023-11-24,GR5000065,On Time,0
TX-00850,PO-99024,CA01,PO01,PG3,NB,2023-05-20,100028,S028,BioAgra Solutions,NX20,Vanscoy,SL03,MAT-10007,Chemicals,Corrosion inhibitor,10.46,1201.34,12566.02,CAD,0,10,2023-05-30,2023-06-05,GR5000066,Late,6
TX-00718,PO-57223,CA01,PO01,PG4,NB,2025-08-30,100029,S029,3M Canada,NX10,Allan,SL04,MAT-10004,Safety,First aid kit,7.8,231.06,1802.27,CAD,1,5,2025-09-04,2025-09-04,GR5000067,On Time,0
TX-00542,PO-64162,CA01,PO01,PG4,NB,2024-07-18,100039,S039,Sealed Air Canada,NX40,Patience Lake,SL04,MAT-10013,Packaging,Pallet wrap,49.6,843.11,41818.26,CAD,1,8,2024-07-26,2024-07-26,GR5000068,On Time,0
TX-02174,PO-16798,CA01,PO01,PG1,NB,2024-01-17,100004,S004,Fastenal Canada,NX70,Aurora,SL01,MAT-10026,MRO,Hose assembly,13.96,3576.2,49923.75,CAD,1,4,2024-01-21,2024-01-21,GR5000069,On Time,0
TX-02154,PO-87200,CA01,PO01,PG5,UB,2023-01-29,100017,S017,Canadian Freightways,NX20,Vanscoy,SL05,MAT-10040,Logistics,LTL shipment,16.85,5292.97,89186.54,CAD,1,3,2023-02-01,2023-02-05,GR5000070,Late,4
TX-01805,PO-39899,CA01,PO01,PG2,NB,2025-09-28,100006,S006,HD Supply,NX30,Cory,SL02,MAT-10041,Electrical,Cable tray,6.96,14986.64,104307.01,CAD,1,10,2025-10-08,2025-10-08,GR5000071,On Time,0
TX-02244,PO-69471,CA01,PO01,PG2,NB,2025-10-13,100034,S034,ABB Canada,NX50,Redwater,SL02,MAT-10041,Electrical,Cable tray,16.65,11690.17,194641.33,CAD,1,12,2025-10-25,2025-10-25,GR5000072,On Time,0
TX-00119,PO-39038,CA01,PO01,PG3,NB,2025-01-11,100026,S026,Sask Chemical Corp,NX60,Rocanville,SL03,MAT-10007,Chemicals,Corrosion inhibitor,10.75,2021.4,21730.05,CAD,1,6,2025-01-17,2025-01-17,GR5000073,On Time,0
TX-01015,PO-14370,CA01,PO01,PG3,NB,2025-07-03,100026,S026,Sask Chemical Corp,NX70,Aurora,SL03,MAT-10042,Agri-Chemicals,Urea 46-0-0,12.0,1050.06,12600.72,CAD,1,6,2025-07-09,2025-07-09,GR5000074,On Time,0
TX-02280,PO-76014,CA01,PO01,PG3,NB,2023-06-21,100027,S027,Western Agri-Chem,NX20,Vanscoy,SL03,MAT-10030,Agri-Chemicals,Micronutrient blend,19.54,7715.15,150754.03,CAD,1,8,2023-06-29,2023-06-29,GR5000075,On Time,0
TX-00272,PO-39603,CA01,PO01,PG2,NB,2025-02-03,100034,S034,ABB Canada,NX20,Vanscoy,SL02,MAT-10002,Instrumentation,Flow meter,19.23,12286.45,236268.43,CAD,1,12,2025-02-15,2025-02-15,GR5000076,On Time,0
TX-02292,PO-13358,CA01,PO01,PG2,NB,2024-05-24,100034,S034,ABB Canada,NX60,Rocanville,SL02,MAT-10018,Instrumentation,Temperature probe,14.69,23485.58,345003.17,CAD,1,12,2024-06-05,2024-06-05,GR5000077,On Time,0
